amount,bond_id,bond_type,bondsman_company,booking_id,conditions,created_date,exonerated,exonerated_datetime,person_id,posted,posted_datetime,poster_name,receipt_number
1000.0,BOND-a174d744-56b9-4cf6-9873-ae140980bfdb,PERSONAL_RECOGNIZANCE,,c8b0a462-dc12-4f4d-af31-92eb12057ca2,"[""SURRENDER_PASSPORT"", ""TRAVEL_RESTRICTIONS""]",2025-09-15 10:43:26,False,,P-1F486D779A,True,2025-08-16 10:43:26,Andrew Quinn,RCPT-462256
1000.0,BOND-4e6d0206-d601-4045-8fee-ddbc4670d603,PROPERTY,,c2464e26-ab6a-489c-b54f-3765777ebe89,"[""NO_CONTACT"", ""SURRENDER_PASSPORT""]",2025-09-15 10:43:26,False,,P-880DE4D43A,True,2025-06-23 10:43:26,Sandra Curtis,RCPT-972385
1000.0,BOND-0c793a9e-6bc8-4bfd-a8d4-c8f44bbf9af3,SURETY,AAA Bail Bonds,8d443b66-1890-4403-9eb3-287e37db6ba7,"[""TRAVEL_RESTRICTIONS"", ""NO_CONTACT""]",2025-09-15 10:43:27,False,,P-12F1CB45EF,True,2025-08-03 10:43:27,Jesus Rios,RCPT-739657
500.0,BOND-d8f4ab8e-4fbe-46d9-8e42-3392f3b2ee30,PERSONAL_RECOGNIZANCE,,d6c678b0-0494-4713-831b-1eed10fc5f2e,"[""NO_CONTACT"", ""PRETRIAL_SUPERVISION""]",2025-09-15 10:43:27,True,2025-08-02 10:43:27,P-C122FD2E40,True,2025-07-29 10:43:27,Justin Conway,RCPT-469357
5000.0,BOND-d8d7e785-035c-4710-8626-63bb4116340d,PROPERTY,,c77d502c-e45b-467a-a2ed-5b0f890dfec5,[],2025-09-15 10:43:27,False,,P-CCEB557CBD,True,2025-09-13 10:43:27,Connie Scott,RCPT-186457
5000.0,BOND-536e5351-fcbf-4c51-81ac-72f8d7a0627f,CASH,,0c58e0fb-23ba-4e0a-86a8-9f11e96d3899,"[""TRAVEL_RESTRICTIONS""]",2025-09-15 10:43:27,False,,P-75BC4C3EE7,True,2025-07-27 10:43:27,Paul Duncan,RCPT-237076
5000.0,BOND-49fdaec5-9c54-4248-846b-e6a5a41c79b2,PROPERTY,,2b9a41dd-381e-474c-b6a3-42affc1eeb24,[],2025-09-15 10:43:27,True,,P-1A257DD977,True,2025-08-30 10:43:27,Michelle Parker,RCPT-609345
5000.0,BOND-fc7bb2d3-cf14-4de9-adb1-fbb088f0df5a,PROPERTY,,67b7634e-26ac-4b8a-9c65-8368cc0aa99f,"[""TRAVEL_RESTRICTIONS""]",2025-09-15 10:43:27,False,,P-CDBD013847,True,2025-07-02 10:43:27,Eric Anderson,RCPT-191212
500.0,BOND-9bf5abdd-6d4b-4ff8-90f0-2a02311ad2b1,SURETY,,2f8225f3-0cbe-4def-8c46-110d18fdf401,[],2025-09-15 10:43:27,False,,P-C389E10700,False,,,
500.0,BOND-c8425ce6-1559-46eb-8f0c-8e92cbdf4ce9,PERSONAL_RECOGNIZANCE,,8c44f3d6-d177-4c06-bc73-149cf1cd1304,"[""SURRENDER_PASSPORT""]",2025-09-15 10:43:27,False,,P-3A8CFB5CE2,True,2025-07-24 10:43:27,Emily Johns,RCPT-295871
5000.0,BOND-7ae0817f-e01d-48cd-ae08-acd051406011,SURETY,Liberty Bonding,d9c360d2-ffb8-4f96-af8c-8dab3fcedfc8,[],2025-09-15 10:43:27,False,,P-707E4CBA70,True,2025-07-25 10:43:27,James Wheeler,RCPT-304427
500.0,BOND-77cb072d-5c37-4e82-9f7c-2b75ce09e0ca,SURETY,,e735071d-b8bd-4656-a70b-46e2b53b78ea,"[""PRETRIAL_SUPERVISION""]",2025-09-15 10:43:27,False,,P-E4CDA95888,False,,,
2500.0,BOND-41932418-e255-4b19-9213-b689706d6cd5,PERSONAL_RECOGNIZANCE,,e1c89655-43b9-46b4-801a-1be365688c7f,[],2025-09-15 10:43:27,False,,P-AA22DF6991,True,2025-08-14 10:43:27,Erica Bauer,RCPT-381480
5000.0,BOND-9c5e5490-9bb6-4b98-a4cc-474594105c42,SURETY,,53ffdf7e-54cf-41dd-9af1-3c0e81c9d01b,"[""TRAVEL_RESTRICTIONS""]",2025-09-15 10:43:27,False,,P-34D127EDE5,False,,,
5000.0,BOND-30bdb200-fcdb-4241-984c-c23847cdba6e,SURETY,,a4434ed9-d01e-4cfe-9770-2df94acc0a7e,[],2025-09-15 10:43:27,False,,P-AC2A8D414F,False,,,
2500.0,BOND-81909962-fe78-4486-a1b9-d4f3dfcf2f01,PROPERTY,,495ed182-55ee-48e4-bd9f-9842483a4072,"[""SURRENDER_PASSPORT"", ""PRETRIAL_SUPERVISION""]",2025-09-15 10:43:27,False,,P-CB5BD7DDF5,False,,,
10000.0,BOND-40a57808-2b8a-4eea-853b-29ede865f280,PROPERTY,,57c5af8a-d426-4990-a4ee-ee9d3865a89b,[],2025-09-15 10:43:27,False,,P-A2B67B2995,False,,,
500.0,BOND-84457997-cda4-4963-b3c4-69182eeb58d0,SURETY,,73b4cc67-fd81-4f39-bc20-55681a0dcbe4,[],2025-09-15 10:43:27,False,,P-ADBFE7C15B,False,,,
5000.0,BOND-2ac5aa76-1b6d-4900-8d97-118b9a5ee726,CASH,,e659f62f-d3f2-48af-89c5-3028c859548b,"[""SURRENDER_PASSPORT""]",2025-09-15 10:43:27,False,,P-5B5FA069F5,False,,,
500.0,BOND-7edba9fc-5e39-4947-9176-65845b287779,CASH,,596cb809-d004-49e8-a73c-6a33990f73ce,"[""PRETRIAL_SUPERVISION""]",2025-09-15 10:43:27,False,,P-6EF96C039D,True,2025-08-05 10:43:27,Christopher Morrow,RCPT-416206
