employee_ids,employee_names,end_datetime,length_minutes,location,qualifiers,scheduled_by,shift_id,start_datetime,station,unit_code,unit_name,work_type
"[""FD2553"", ""FD5880"", ""FD6293""]","[""Deborah Allen"", ""Samantha Pierce"", ""Nicole Daniels""]",2025-09-08 17:38:15,1440,"1862 NW 85th St, Seattle, WA 98107","[""COMPANY_OFFICER""]","[""Amy Burns"", ""Robert Sanford""]",4c2fcbb2-83aa-46d6-807a-e313c7155668,2025-09-07 17:38:15,STATION_29,M005,MEDIC 005,REGULAR
"[""FD7933"", ""FD1050"", ""FD7403"", ""FD8437"", ""FD8451""]","[""Jessica Lopez"", ""Collin Melton"", ""Jeremy Jensen"", ""Debbie Burke"", ""Barry Bennett""]",2025-08-31 16:18:06,600,"305 S Jackson St, Seattle, WA 98104","[""COMPANY_OFFICER"", ""FIREFIGHTER"", ""PARAMEDIC""]","[""Mark Munoz"", ""Benjamin Brewer""]",d7110614-35b4-46fa-b6ef-74bc854a131c,2025-08-31 06:18:06,STATION_26,E016,ENGINE 016,OVERTIME
"[""FD3648"", ""FD8414"", ""FD1247""]","[""Colleen Harrison"", ""Samantha White"", ""Willie Lopez""]",2025-09-07 14:29:38,1440,"115 E Olive Way, Seattle, WA 98112","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Michele Crawford"", ""Mason Wood""]",d572ad11-5932-48f9-9d0f-ed3e2a3d7e00,2025-09-06 14:29:38,STATION_4,E006,ENGINE 006,OVERTIME
"[""FD3502"", ""FD5553"", ""FD2469"", ""FD4168""]","[""Jason Watson"", ""Steven Johnson"", ""Mark Morales"", ""Daniel Jackson""]",2025-08-31 07:55:32,1440,"124 E Newton St, Seattle, WA 98112","[""PARAMEDIC""]","[""Janice Bowen"", ""James Kerr""]",5a7662ca-96f1-47f1-8a84-ecd0635deabe,2025-08-30 07:55:32,STATION_23,E001,ENGINE 001,REGULAR
"[""FD2946"", ""FD8162""]","[""Tina Jackson"", ""Stephanie Wilson""]",2025-09-02 15:52:43,480,"1258 E Howe St, Seattle, WA 98102","[""COMPANY_OFFICER""]","[""Jennifer Reese""]",ec746ea2-588a-4a8d-a6e8-a6ba62eda9d9,2025-09-02 07:52:43,STATION_14,A011,AID 011,OVERTIME
"[""FD2872"", ""FD9929"", ""FD4226""]","[""Jeremy Hill"", ""Dana Mckee"", ""Monica Allen""]",2025-09-06 04:00:02,480,"393 SW Trenton St, Seattle, WA 98106","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Mark Klein"", ""Carlos May""]",32e012cc-ca5d-4081-a04b-6cf3e5da7153,2025-09-05 20:00:02,STATION_17,E020,ENGINE 020,OVERTIME
"[""FD8545"", ""FD5253""]","[""Christopher Brown"", ""Stephanie Bender""]",2025-09-18 20:01:51,600,"954 3rd Ave N, Seattle, WA 98109","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""Michael Graham"", ""Catherine Michael""]",26236039-2dba-44c7-8440-e7f3a2d6fb8e,2025-09-18 10:01:51,STATION_37,B016,BATTALION 016,REGULAR
"[""FD7824"", ""FD5198"", ""FD9914"", ""FD5094"", ""FD5101"", ""FD1589""]","[""James Harvey"", ""Derek Sampson"", ""Angela Mcpherson"", ""Michael Bowman"", ""Dawn Cook"", ""Allison Peters""]",2025-09-20 11:01:37,720,"1434 E Galer St, Seattle, WA 98102","[""FIREFIGHTER"", ""PARAMEDIC""]","[""Jeffrey Thomas""]",563f9fa7-a59c-4cf3-9133-9a681138e2c8,2025-09-19 23:01:37,STATION_32,E015,ENGINE 015,REGULAR
"[""FD3962"", ""FD8725"", ""FD8027""]","[""Katherine Shepard"", ""David Carr"", ""Elizabeth Harper""]",2025-08-31 21:38:30,720,"387 S King St, Seattle, WA 98104","[""FIREFIGHTER""]","[""Spencer Gray""]",adfb7250-2d4f-4251-a7ee-30c2e3fd8f74,2025-08-31 09:38:30,STATION_34,M011,MEDIC 011,OVERTIME
"[""FD4480"", ""FD1050"", ""FD6041""]","[""Francisco Olsen"", ""Collin Melton"", ""Patricia Bell""]",2025-09-21 23:17:31,720,"777 NW 65th St, Seattle, WA 98107","[""COMPANY_OFFICER"", ""PARAMEDIC""]","[""Noah Carter""]",fe7149aa-19fb-48df-ae49-8387850f5bf3,2025-09-21 11:17:31,STATION_3,A037,AID 037,REGULAR
"[""FD9311"", ""FD9582"", ""FD8702""]","[""Donald Berg"", ""Evan White"", ""Jacqueline Doyle""]",2025-09-14 18:47:21,1440,"1294 NW 56th St, Seattle, WA 98107","[""COMPANY_OFFICER""]","[""Meredith Frost""]",b5371b16-7c47-4a7b-84e1-12bcfbc86164,2025-09-13 18:47:21,STATION_7,L032,LADDER 032,OVERTIME
"[""FD3799"", ""FD3383"", ""FD7686"", ""FD6363""]","[""Rodney Moore"", ""Paul Mclaughlin"", ""Amy Nelson"", ""Eugene Martin""]",2025-09-16 10:48:48,480,"237 E Pine St, Seattle, WA 98112","[""COMPANY_OFFICER""]","[""Ethan Warren""]",c98ca806-5a91-493f-8cf9-9846d9e2ed6f,2025-09-16 02:48:48,STATION_9,E023,ENGINE 023,REGULAR
"[""FD9831"", ""FD4561"", ""FD4827"", ""FD9337"", ""FD6812"", ""FD1647""]","[""Sharon Mcguire"", ""Jason Turner"", ""Terry Tucker"", ""Matthew Snyder"", ""Albert Johnson"", ""Jacqueline Holmes""]",2025-09-26 00:34:21,1440,"290 Columbia St, Seattle, WA 98101","[""COMPANY_OFFICER"", ""FIREFIGHTER""]","[""Kaylee Martinez""]",539ea0ef-4598-4156-b100-12a44b2a1b89,2025-09-25 00:34:21,STATION_14,L015,LADDER 015,REGULAR
