booking_id,commitment_county_years,concurrent_with_case_numbers,court_case_number,created_date,crime_date,definite_stated_term_years,end_date,good_time_eligible,gun_years,inmate_date_of_birth,inmate_first_name,inmate_key,inmate_last_name,inmate_middle_name,major_drug_offender_years,maximum_years,minimum_years,notes,offense_description,orc_code,person_id,return_violator_offender_years,sentence_date,sentence_id,sentence_type,start_date,statute,time_served_days,total_days
54e1d125-ce52-44b4-b994-f8af623861d7,1.6,"[""CR-904752""]",CR-357636,2025-09-11 15:33:51,2024-07-30,,2024-01-13,True,,2004-06-19,Severo,IN847189,Prada,,,,,,DUI,,P-987E7230F5,2.9,2023-11-02,SEN-6b374db3-4fb1-4b10-bf9a-275c834e69ec,JAIL_TIME,2023-11-14,RCW 47.357,35,60
f8b83b47-5e87-4d7c-8f37-a6bb1305d604,,[],CR-552430,2025-09-11 15:33:51,2023-12-12,,2023-01-08,False,,1962-05-29,Angelita,IN136366,Guitart,,,5.9,2.7,20 hours community service,DV VIOLATION,,P-6D809FF683,,2022-09-26,SEN-963012a3-7a09-4d57-8b13-8e21a3328aa6,COMMUNITY_SERVICE,2022-10-10,RCW 26.896,1,90
16f90391-f56b-4775-a374-78f7305e290b,,[],CR-387071,2025-09-11 15:33:51,2024-11-10,,2024-12-04,False,,1978-10-03,Teresa,IN794989,Mcintosh,,,8.1,1.9,Supervised probation,BURGLARY 2,2990.33,P-F197C49414,,2023-11-26,SEN-977b0eba-5ccd-4f04-a5c1-d281ff8c6514,PROBATION,2023-12-05,RCW 37.293,30,365
b864aff8-1649-4ee0-9fb6-394e2e0192f4,,"[""CR-422287""]",CR-816048,2025-09-11 15:33:51,2025-03-01,,,False,,1942-12-27,Valerie,IN221072,Harris,,,7.0,4.1,Fine only: $250,THEFT 3,2969.46,P-3A11A30B12,,2023-08-16,SEN-e67d53ec-9cf1-427f-a110-17c71fa8b0f6,FINE_ONLY,2023-08-19,RCW 50.725,0,0
13e36dd0-66af-4e48-8b23-83701a6133b4,,"[""CR-588293"", ""CR-689649""]",CR-530965,2025-09-11 15:33:51,2024-09-21,,2025-07-02,False,,1962-06-02,Beth,IN703165,Frederick,,,,,Time served,BURGLARY 2,,P-F27B9F4D91,,2025-06-24,SEN-e48754e0-9556-4d0b-a3ab-e8902e3d80a1,TIME_SERVED,2025-06-26,RCW 34.523,5,6
eae3eb65-41aa-42e8-ae2b-74a98633518c,,"[""CR-585579""]",CR-834303,2025-09-11 15:33:51,2024-08-31,,2024-07-17,True,,1981-09-09,Dustin,IN555671,Zimmerman,,,5.8999999999999995,4.1,Eligible for work release,BURGLARY 2,2912.46,P-2406185D47,,2024-06-05,SEN-20c7c862-d395-4c27-8203-7b75b630d7f6,WORK_RELEASE,2024-06-17,RCW 23.88,5,30
0b97f6d8-7752-46f0-b2b6-e76868e82be3,,[],CR-703560,2025-09-11 15:33:51,2023-10-03,4.5,2025-10-15,True,,1951-02-10,Joshua,IN127613,Hill,,,,3.4,,DUI,2925.06,P-97007B2B53,,2025-06-11,SEN-088ea212-d933-4a40-8f22-b8bac29baf1b,JAIL_TIME,2025-06-17,RCW 63.289,26,120
b3e758ec-ea38-44f8-beb5-8668d1160d1b,,[],CR-603651,2025-09-11 15:33:51,2024-06-12,,2024-11-12,False,,1949-08-02,Shane,IN771568,Huang,,,,,Time served,ASSAULT 4,,P-8AD9C0FA0E,,2024-10-12,SEN-ec8df3c5-a4b8-4510-9f71-74146a15aed2,TIME_SERVED,2024-10-22,RCW 57.223,6,21
f8309b7e-c1b8-4c98-9a29-a2a9ddeb8087,,"[""CR-445916""]",CR-916211,2025-09-11 15:33:51,2024-01-18,4.5,2025-06-11,True,,1995-12-22,Steven,IN465414,Smith,,,,,,BURGLARY 2,2901.56,P-AA32F6618C,,2024-06-07,SEN-a5a03361-395b-473b-9f72-6309b16d4e26,PRISON,2024-06-11,RCW 50.686,5,365
75ecf2be-d81c-4b54-b503-9b1df056fce9,,"[""CR-511901""]",CR-498739,2025-09-11 15:33:51,2024-10-25,,2024-12-28,False,,2001-08-05,Emelina,IN145531,Peralta,,,3.3,2.5,Sentence suspended,THEFT 3,,P-D48EB10454,,2024-11-15,SEN-5cee5221-2e8e-46b4-a05a-5ba7b4119472,SUSPENDED,2024-11-28,RCW 27.905,19,30
82766a57-1851-47f6-8ce8-425596b49bc4,,[],CR-785596,2025-09-11 15:33:51,2024-03-16,,2023-07-23,True,,1948-03-23,Jay,IN874273,Harris,,,11.7,4.7,,DV VIOLATION,2907.31,P-0F0B4724F0,,2023-03-13,SEN-1a23c83e-41e1-4d17-92d7-2d8b273d6855,JAIL_TIME,2023-03-25,RCW 36.664,7,120
a4932240-28d9-4b3c-8c22-a4eaad4e7dd5,,"[""CR-938090"", ""CR-299411""]",CR-773193,2025-09-11 15:33:51,2024-03-31,,2025-02-22,False,,1992-10-26,Tanish,IN564540,Kuruvilla,,,13.5,5.0,Time served,ASSAULT 4,2934.58,P-1A5E9DCFFB,,2025-01-21,SEN-5a9e04d3-7cbb-4ba0-b689-93e033a71305,TIME_SERVED,2025-01-28,RCW 54.489,14,25
561d996b-7db5-416c-9fec-2b4d7c703a92,1.6,"[""CR-577974""]",CR-152542,2025-09-11 15:33:51,2025-03-02,,,False,,1942-07-21,Emily,IN999457,Ross,,,9.2,2.9,Fine only: $250,ASSAULT 4,,P-230074D37A,,2023-12-31,SEN-a23ccce8-9ce7-4198-85d3-e363a8bbfa29,FINE_ONLY,2024-01-02,RCW 42.434,0,0
4fbe5767-20cb-4018-8505-c726b293f630,,[],CR-602973,2025-09-11 15:33:51,2024-10-22,,2024-03-07,False,,2005-05-10,Jeremy,IN557280,Hart,,,7.300000000000001,1.4,Unsupervised probation,DV VIOLATION,2920.46,P-8624855500,,2023-03-01,SEN-bf64ddba-16f1-4ecb-ad0b-fc1155172ec8,PROBATION,2023-03-08,RCW 42.705,40,365
45928169-0e6f-4bf7-9623-e1783c08cdb0,,[],CR-387141,2025-09-11 15:33:51,2024-01-24,,2023-10-25,False,,1969-02-12,Alexander,IN705578,Morris,,,,,20 hours community service,BURGLARY 2,,P-4301C2E92E,,2023-07-21,SEN-ee87c4f5-c08f-43da-baec-7f12907dae00,COMMUNITY_SERVICE,2023-07-27,RCW 22.826,15,90
b2511584-36ec-4daf-9a1a-83d077bd11f9,,[],CR-397792,2025-09-11 15:33:51,2025-05-06,,2024-01-12,False,,1944-06-25,Curtis,IN319125,Short,,,,,Diversion program,THEFT 3,2983.56,P-3F3093C517,,2023-10-13,SEN-efd79c00-ab66-4669-b1ce-7cc49e803892,DIVERSION,2023-10-14,RCW 41.414,37,90
0b58ca95-95ba-4fc4-9760-822a146b4452,,"[""CR-757886"", ""CR-703645""]",CR-407081,2025-09-11 15:33:51,2025-01-25,,2026-02-27,False,,1997-09-24,Aroa,IN557526,Ureña,,,6.6,1.0,Unsupervised probation,DUI,,P-03AD453276,,2025-02-15,SEN-95cfd61d-4750-49c9-833e-bb7ed2555567,PROBATION,2025-02-27,RCW 51.790,7,365
3a8650e5-dc6c-45e8-8e4a-d021dbdaa667,,"[""CR-624815"", ""CR-672643""]",CR-788132,2025-09-11 15:33:51,2025-05-27,,2023-12-04,False,,1953-09-27,Kathleen,IN842104,White,,,8.7,3.1,Diversion program,BURGLARY 2,,P-5483FF7D33,,2022-11-25,SEN-c0081aa0-19bc-4c57-b13c-20d0f2ffda73,DIVERSION,2022-12-04,RCW 46.925,43,365
bd296768-dab5-4814-89cd-ae0e283aa5f1,,[],CR-562616,2025-09-11 15:33:51,2023-09-11,,2025-11-02,False,,1943-09-05,Lorraine,IN461790,Olsen,,,,,Unsupervised probation,DV VIOLATION,2996.14,P-9F5439F4D9,,2025-04-28,SEN-aa38405f-6340-4b45-ae9e-b70d5ae50c6b,PROBATION,2025-05-06,RCW 64.803,11,180
48d58234-ad3a-4f1f-8cfa-68e366395863,,"[""CR-130406""]",CR-903517,2025-09-11 15:33:51,2023-11-24,,2025-04-28,True,,1975-09-15,정희,IN590118,허,,,,,,DUI,,P-32536449C8,,2024-04-15,SEN-5a24a78d-34be-4e46-bddc-915588a79521,JAIL_TIME,2024-04-28,RCW 53.114,43,365
d523d40f-a5dd-487e-8ea2-c93a7c2f804b,,"[""CR-348757""]",CR-450164,2025-09-11 15:33:51,2024-09-28,,2024-04-12,False,,1996-04-23,Nerea,IN682726,Saez,,,,,Deferred sentence,DV VIOLATION,,P-A32CD7F301,,2023-04-08,SEN-fdf41e26-84ec-4463-99dd-247cceeae7c2,DEFERRED_SENTENCE,2023-04-13,RCW 57.404,33,365
67dabb4b-61db-454c-8646-0c6073b34e99,,"[""CR-436351""]",CR-795500,2025-09-11 15:33:51,2025-08-28,,,False,,1966-05-14,Leire,IN323195,Pou,,,,,Fine only: $250,THEFT 3,2909.59,P-837E30B176,,2023-04-12,SEN-a0e44ce4-c323-4b01-9c4d-2d0065e5b329,FINE_ONLY,2023-04-24,RCW 17.206,0,0
8d0809eb-ec8c-4139-aa44-39ce7df16a7d,,"[""CR-712547"", ""CR-817771""]",CR-109136,2025-09-11 15:33:51,2023-10-19,,2023-11-19,True,2.0,1996-03-02,Leandra,IN842063,Gonzalez,,,,,Eligible for work release,DUI,,P-8734F11937,0.9,2023-07-08,SEN-7f28cff8-205c-4d01-aa7e-23534e0e0d8c,WORK_RELEASE,2023-07-22,RCW 43.385,36,120
3935cd4b-f8a7-4a2d-9528-3da4d36de3fd,,"[""CR-415471""]",CR-925200,2025-09-11 15:33:51,2024-11-04,,2025-06-04,False,,1998-08-30,Dương,IN918207,Trần,,,,3.4,Time served,DV VIOLATION,,P-EC27845252,,2025-05-22,SEN-df23994e-209d-4a88-9e58-518402ea51ce,TIME_SERVED,2025-06-03,RCW 32.876,0,1
83f0554c-9440-4552-81d5-34b6509fbe54,,[],CR-805366,2025-09-11 15:33:51,2024-08-16,,2024-04-22,False,,1964-05-09,Hannah,IN360622,Martin,,,7.6,1.0,Electronic monitoring,BURGLARY 2,2963.92,P-204F3DF8D7,,2023-10-22,SEN-451d262d-1a22-42fd-a2ac-05a165794131,ELECTRONIC_MONITORING,2023-10-25,RCW 41.619,19,180
b3f71c11-0bd8-4af3-9574-01967fe70cb7,,"[""CR-380883""]",CR-223708,2025-09-11 15:33:51,2025-02-24,,2025-04-03,False,,1976-03-26,Mai,IN623246,Vũ,,,9.3,1.6,Diversion program,THEFT 3,,P-1AF144EE31,,2024-12-22,SEN-f3f69cd1-d036-47b0-8c8b-6c2aeb5ea3d4,DIVERSION,2025-01-03,RCW 36.294,3,90
fd399e16-3ddc-4251-9289-a7dd34eb2e93,,"[""CR-899971""]",CR-239430,2025-09-11 15:33:51,2025-06-16,,2023-07-14,False,,1972-07-06,América,IN190363,Gomez,,,,,Time served,ASSAULT 4,2978.81,P-DC6A3D686A,,2023-06-28,SEN-0ba1829b-baeb-4f0c-a909-04a1085a9880,TIME_SERVED,2023-07-06,RCW 9.266,8,8
4e8d3c24-c1f7-4ed3-b5ac-4ae62a2b418d,,"[""CR-347843"", ""CR-975481""]",CR-504438,2025-09-11 15:33:51,2024-08-06,,,False,,2001-05-11,Eric,IN625280,Weber,,,,,Fine only: $1000,DUI,,P-BB27D52D12,,2023-05-07,SEN-d3ec0528-506a-4003-95e8-b9b5309ce86a,FINE_ONLY,2023-05-17,RCW 67.274,0,0
530de095-48d9-42ed-b77d-5f088c60f990,,"[""CR-458117"", ""CR-906852""]",CR-159119,2025-09-11 15:33:51,2025-04-11,3.9,2025-05-23,True,,1949-11-18,África,IN392784,Carballo,,,,,,DUI,,P-27F71B1596,,2025-02-11,SEN-e7292f8d-bd4c-43ae-8fde-e644b773b7f3,JAIL_TIME,2025-02-22,RCW 11.271,19,90
08933889-a781-4477-ba70-f23fb03021b8,,"[""CR-153384"", ""CR-771044""]",CR-249995,2025-09-11 15:33:51,2024-03-05,,2025-09-10,False,,1966-01-30,Aaron,IN873053,Norton,,,4.4,1.4,Sentence suspended,ASSAULT 4,2904.85,P-9294D32FDB,,2025-06-06,SEN-ef29f856-7179-4916-aed2-32838ca54740,SUSPENDED,2025-06-12,RCW 68.757,30,90
a486d0f6-638d-4398-a125-1d8a5bec1188,,"[""CR-823577"", ""CR-828626""]",CR-734831,2025-09-11 15:33:51,2024-04-19,,2023-08-05,False,,2006-04-24,Kathryn,IN225979,Gonzalez,,,,,Deferred sentence,BURGLARY 2,2992.85,P-7FC629ECCF,,2023-05-02,SEN-5672bd0d-7a55-49d4-a87b-c3ac307bff8e,DEFERRED_SENTENCE,2023-05-07,RCW 40.130,33,90
aaa12cbf-50dc-4702-aaaf-d018b9cad501,,[],CR-670449,2025-09-11 15:33:51,2024-01-11,,2025-07-21,True,,1979-03-15,John,IN531550,Mcfarland,,,6.2,4.4,Eligible for work release,DUI,2990.03,P-9A04EA409D,,2024-07-17,SEN-553c6494-0fe3-477e-b2f1-eb31d880bdbb,WORK_RELEASE,2024-07-21,RCW 54.961,16,365
b87f6644-b9ce-45b5-8ec0-3e1074b6e034,,[],CR-954937,2025-09-11 15:33:51,2025-02-15,,2024-07-12,False,,1969-01-02,Loreto,IN415958,Robles,,,9.3,4.6,Electronic monitoring,DV VIOLATION,,P-C412EE959A,,2024-06-17,SEN-6085dc26-af1e-4870-9e93-346bb6e34716,ELECTRONIC_MONITORING,2024-06-28,RCW 61.528,10,14
b9f93a55-04e7-4c94-8747-da46a03f6431,,[],CR-674018,2025-09-11 15:33:51,2024-08-24,,2024-10-20,False,,1996-01-05,Johnny,IN808587,Torres,,,,,Time served,DUI,2984.45,P-EAD1C10AD5,,2024-09-19,SEN-5588cdba-dcca-40fe-86ca-b6124f097435,TIME_SERVED,2024-10-02,RCW 54.633,7,18
2e7428f1-ae2b-4203-9b7f-40da205884cf,,[],CR-358896,2025-09-11 15:33:51,2023-10-24,,,False,,1979-04-02,Emily,IN223505,Garner,,,,3.1,Fine only: $2000,BURGLARY 2,2934.83,P-A70BF2E74C,,2023-12-09,SEN-1efd27c8-1b82-42f1-955d-1cd78eccd5c9,FINE_ONLY,2023-12-22,RCW 18.946,0,0
0c451a1a-b18b-4ca3-95cb-cfbbb3980c30,,"[""CR-906671"", ""CR-570122""]",CR-323825,2025-09-11 15:33:51,2025-06-23,,2023-08-31,False,,1959-08-04,Gregory,IN751967,Parker,,,2.7,1.0,Sentence suspended,DV VIOLATION,2913.25,P-DAB71E8FA2,,2023-05-26,SEN-4b7c6659-34d9-434d-b6a7-657c80d44907,SUSPENDED,2023-06-02,RCW 38.513,32,90
a0ef3bac-8ae6-4075-accc-542033bbcc72,,[],CR-941228,2025-09-11 15:33:51,2025-03-22,5.5,2025-09-06,True,,1999-11-12,Daniel,IN506529,Braun,,,8.1,4.2,,THEFT 3,2954.47,P-B4DFE90101,,2024-08-29,SEN-70b64651-b8aa-4b15-b2a0-60d014e3e731,PRISON,2024-09-06,RCW 38.839,44,365
0b48e1b6-4438-4d60-b7f2-f05911165b80,1.1,"[""CR-913727""]",CR-107124,2025-09-11 15:33:51,2025-06-03,3.6,2023-05-31,True,,1960-07-30,Erik,IN820927,Thompson,,,8.5,4.6,,DUI,,P-AEA5A54628,,2022-12-01,SEN-a01c52a1-ebd6-4e65-a55f-92d9108b9ac1,JAIL_TIME,2022-12-02,RCW 13.278,4,180
