active,certifications,created_date,date_of_hire,email,employee_id,first_name,full_name,group,last_name,personnel_id,phone_mobile,phone_work,role,shift,station,unit,updated_date,user_id,username
True,"[""TECH_REScue""]",2025-09-15 10:46:13,2024-05-20,owashington@firedepartment.org,FD7265,Olivia,Olivia Washington,PREVENTION,Washington,FP-76a3d71a-d85e-482c-a817-aa2a6bf9d9c6,(206) 709-6225,(206) 757-1695,CAPTAIN,C,STATION_09,MEDIC 009,2025-09-15 10:46:13,owashington,owashington
True,"[""TECH_REScue""]",2025-09-15 10:46:13,2014-01-23,jmullins@firedepartment.org,FD7469,Jessica,Jessica Mullins,PREVENTION,Mullins,FP-b8d21ca9-1bf6-4af1-898c-d904edcb7f7b,(206) 757-1275,(206) 827-8055,CAPTAIN,A,STATION_09,ENGINE 009,2025-09-15 10:46:13,jmullins,jmullins
True,"[""EMT""]",2025-09-15 10:46:13,2014-01-01,hjones@firedepartment.org,FD7860,Harold,Harold Jones,TRAINING,Jones,FP-cb9445ee-7f9e-4b55-8a4f-1d9a2bb3e404,(425) 522-5156,(206) 500-1594,FIREFIGHTER,A,STATION_27,LADDER 027,2025-09-15 10:46:13,hjones,hjones
True,"[""FIRE_INVESTIGATOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2016-11-19,esilva@firedepartment.org,FD6986,Elizabeth,Elizabeth Silva,OPERATIONS,Silva,FP-9339c5eb-e261-47a6-9ad1-7e388a8be1b3,(425) 499-5118,(206) 288-1866,FIREFIGHTER,A,STATION_32,ENGINE 032,2025-09-15 10:46:13,esilva,esilva
True,"[""EMT""]",2025-09-15 10:46:13,2021-05-13,rmoore@firedepartment.org,FD5332,Ryan,Ryan Moore,OPERATIONS,Moore,FP-74a09688-9398-4b5a-bb3c-a355819d79b8,(206) 694-2792,(360) 477-8224,LIEUTENANT,C,STATION_30,MEDIC 030,2025-09-15 10:46:13,rmoore,rmoore
True,"[""FIRE_INSTRUCTOR"", ""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2013-12-18,mmccarthy@firedepartment.org,FD2663,Michael,Michael Mccarthy,TRAINING,Mccarthy,FP-6a24c9f0-b19d-4e84-98ea-211f0c56e925,(206) 687-4319,(206) 715-6242,FIREFIGHTER,B,STATION_03,LADDER 003,2025-09-15 10:46:13,mmccarthy,mmccarthy
True,"[""HAZMAT""]",2025-09-15 10:46:13,2013-08-05,pnelson@firedepartment.org,FD8845,Preston,Preston Nelson,TRAINING,Nelson,FP-069a6b76-c97f-46d3-9ffd-de203d37a5b8,(206) 365-4880,(206) 469-7271,CAPTAIN,A,STATION_33,ENGINE 033,2025-09-15 10:46:13,pnelson,pnelson
True,"[""FIRE_INVESTIGATOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2021-01-22,ejohnson@firedepartment.org,FD2574,Emma,Emma Johnson,OPERATIONS,Johnson,FP-e9359b68-feaa-45ad-9f66-3f9f9965eac8,(206) 297-6944,(206) 447-2441,PARAMEDIC,A,STATION_06,AID 006,2025-09-15 10:46:13,ejohnson,ejohnson
True,"[""FIRE_INSTRUCTOR"", ""FIRE_INVESTIGATOR"", ""TECH_REScue""]",2025-09-15 10:46:13,2015-10-31,eboyer@firedepartment.org,FD4198,Evelyn,Evelyn Boyer,TRAINING,Boyer,FP-41639380-06ff-4d26-99dd-328182afbf4e,(206) 459-1741,(206) 850-1024,PARAMEDIC,B,STATION_10,AID 010,2025-09-15 10:46:13,eboyer,eboyer
True,"[""FIRE_INSTRUCTOR"", ""HAZMAT""]",2025-09-15 10:46:13,2012-09-10,mdyer@firedepartment.org,FD4804,Michael,Michael Dyer,PREVENTION,Dyer,FP-cbc4f000-9b2a-44ac-9477-dd1af32ddf66,(206) 980-1738,(206) 920-6425,BATTALION_CHIEF,A,STATION_01,ENGINE 001,2025-09-15 10:46:13,mdyer,mdyer
True,"[""HAZMAT""]",2025-09-15 10:46:13,2020-03-15,sconley@firedepartment.org,FD7481,Stephen,Stephen Conley,TRAINING,Conley,FP-5ff7f3e4-78ed-4858-9075-b7d30583d725,(360) 524-2571,(206) 419-4326,LIEUTENANT,C,STATION_28,LADDER 028,2025-09-15 10:46:13,sconley,sconley
True,"[""FIRE_INSTRUCTOR""]",2025-09-15 10:46:13,2008-01-16,krodriguez@firedepartment.org,FD9914,Keith,Keith Rodriguez,ADMIN,Rodriguez,FP-bcb6c4c1-e598-4e48-8622-a27866f7f8b2,(425) 668-7202,(425) 496-3378,CAPTAIN,C,STATION_08,ENGINE 008,2025-09-15 10:46:13,krodriguez,krodriguez
True,"[""EMT"", ""TECH_REScue""]",2025-09-15 10:46:13,2017-06-17,ballen@firedepartment.org,FD4738,Breanna,Breanna Allen,OPERATIONS,Allen,FP-a717e264-56c6-42a0-9e15-86cedb39d2f7,(425) 531-3162,(425) 629-1703,CAPTAIN,C,STATION_23,LADDER 023,2025-09-15 10:46:13,ballen,ballen
True,"[""EMT"", ""FIRE_INSTRUCTOR"", ""FIRE_INVESTIGATOR""]",2025-09-15 10:46:13,2005-05-29,jalvarez@firedepartment.org,FD9793,Julie,Julie Alvarez,PREVENTION,Alvarez,FP-02a06512-7118-45cb-b3fc-b832e218f38d,(425) 361-6906,(206) 202-9712,FIREFIGHTER,B,STATION_12,MEDIC 012,2025-09-15 10:46:13,jalvarez,jalvarez
True,"[""TECH_REScue""]",2025-09-15 10:46:13,2022-07-09,mphillips@firedepartment.org,FD9612,Martin,Martin Phillips,PREVENTION,Phillips,FP-03a8544c-5277-477d-bc7f-67b61be33407,(206) 961-5913,(206) 397-9500,BATTALION_CHIEF,C,STATION_27,MEDIC 027,2025-09-15 10:46:13,mphillips,mphillips
True,"[""HAZMAT"", ""PARAMEDIC"", ""TECH_REScue""]",2025-09-15 10:46:13,2015-11-22,scortez@firedepartment.org,FD6401,Susan,Susan Cortez,TRAINING,Cortez,FP-de0cd60a-1cd1-45a0-b8ee-e799ece5d643,(206) 588-2323,(425) 693-6100,CAPTAIN,B,STATION_30,MEDIC 030,2025-09-15 10:46:13,scortez,scortez
