actions_taken,booking_id,created_date,description,incident_datetime,incident_id,incident_type,involved_inmates,involved_staff,location,person_id,referral_to_outside_agency
"[""MEDICAL_EVAL"", ""REPORT_FILED""]",f715958c-ed44-4568-98ad-c525e39ea6a5,2025-09-15 10:43:26,Property damage to dayroom table recorded.,2025-05-12 09:39:39,JINC-0ecadaa1-ebb2-4b79-b621-0ad1edb437d6,PROPERTY_DAMAGE,"[""e470b278-a18d-4fa9-844a-a5a8ef965117""]","[""Wendy Smith""]",DAYROOM,P-56155E68B3,KCSO
"[""EVIDENCE_SEIZED""]",6796b893-12b2-420f-8b44-24029db0ed50,2025-09-15 10:43:26,Contraband discovered during cell search.,2025-08-14 00:02:44,JINC-9f233ed4-8717-412b-97e2-a6c60dbf0ce4,SELF_HARM,"[""becb325d-acaf-4df7-a193-6713315cc70b""]","[""Jill Floyd""]",POD B,P-3488BA5A09,
"[""MEDICAL_EVAL""]",d0a4ddaf-91a2-48a9-8e0f-ba95f2556b88,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-08-04 23:54:44,JINC-cbd0e535-ff46-4a71-bdc5-6b1a1c00864b,PROPERTY_DAMAGE,[],"[""Christine Garcia""]",MEDICAL,P-A8EA9C8A33,
"[""REPORT_FILED""]",67b7634e-26ac-4b8a-9c65-8368cc0aa99f,2025-09-15 10:43:27,Inmate referred for medical evaluation.,2025-09-13 15:37:29,JINC-02f82c28-a287-446a-af00-502f5e43eee1,CONTRABAND,[],"[""Shirley George""]",DAYROOM,P-CDBD013847,
"[""ISOLATION"", ""REPORT_FILED""]",8c44f3d6-d177-4c06-bc73-149cf1cd1304,2025-09-15 10:43:27,Altercation between inmates; separated by staff.,2025-06-01 00:56:17,JINC-31c6b62d-96b4-471a-99f4-260b9f7b71aa,MEDICAL,"[""e6d4dbf1-10c3-486e-877a-c6981991c82c""]","[""Loretta Cole""]",DAYROOM,P-3A8CFB5CE2,PROSECUTOR
"[""EVIDENCE_SEIZED"", ""ISOLATION""]",63adc1cc-6bb2-430a-9b6f-616b05dc0380,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-06-15 00:01:17,JINC-ff3ea118-8934-4ad5-a892-97af90f8f994,CONTRABAND,"[""2a90ebbd-1786-43c3-901e-ba4573353b72"", ""62d75d85-b301-42d0-b6cf-a12391b0333a""]","[""Amanda Love"", ""Paul Allen"", ""Victor Williams""]",CELL 2,P-9A41829EF2,PROSECUTOR
"[""EVIDENCE_SEIZED"", ""REPORT_FILED"", ""ISOLATION""]",4e5e7f70-c30e-4ae7-84fa-15bc2dc24d0e,2025-09-15 10:43:27,Inmate referred for medical evaluation.,2025-06-15 05:32:50,JINC-d6ece333-733d-4343-818a-01d0f20f630b,CONTRABAND,"[""9a393a23-2a36-4786-adfa-87d36459a6b9"", ""966dc763-38f6-4f88-9072-6aaab7492334""]","[""Jaime Holt""]",POD B,P-6535229C18,PROSECUTOR
"[""MEDICAL_EVAL""]",e735071d-b8bd-4656-a70b-46e2b53b78ea,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-05-04 01:33:12,JINC-ff3b9f9d-0c63-4cfa-b8f8-4a969443c687,SELF_HARM,[],"[""Adam Reyes"", ""Nicole Caldwell""]",MEDICAL,P-E4CDA95888,
"[""ISOLATION""]",294a0d8b-1297-4032-9d2c-d0684a24b38f,2025-09-15 10:43:27,Property damage to dayroom table recorded.,2025-06-30 11:20:30,JINC-01b13935-4047-4c8b-b9c8-197e274aa4f9,CONTRABAND,"[""67e42ccf-946e-41da-a1aa-a2d320574848"", ""fe43e085-d3c9-49ef-87d9-0bc78f588d29"", ""cc91a82d-df2e-44ab-8ae1-fec371562cf0""]","[""Charles Roberts"", ""Kathleen Villarreal"", ""Mary Torres""]",YARD,P-B9A8068ECD,PROSECUTOR
"[""EVIDENCE_SEIZED""]",73b4cc67-fd81-4f39-bc20-55681a0dcbe4,2025-09-15 10:43:27,Altercation between inmates; separated by staff.,2025-04-17 04:11:37,JINC-1b700002-3c0f-4d84-8797-ff7f0e74ec64,MEDICAL,"[""adca68bb-e786-46b5-af0a-f4f88530e19c"", ""86116c36-1069-472c-aa57-e76f233d533d""]","[""Pam Perez"", ""Michael Wilson"", ""Robert Sanders""]",YARD,P-ADBFE7C15B,KCSO
