booking_id,commitment_county_years,concurrent_with_case_numbers,court_case_number,created_date,crime_date,definite_stated_term_years,end_date,good_time_eligible,gun_years,inmate_date_of_birth,inmate_first_name,inmate_key,inmate_last_name,inmate_middle_name,major_drug_offender_years,maximum_years,minimum_years,notes,offense_description,orc_code,person_id,return_violator_offender_years,sentence_date,sentence_id,sentence_type,start_date,statute,time_served_days,total_days
c58b267d-b376-4f60-83cd-bcd9203a22f1,,"[""CR-778155"", ""CR-649088""]",CR-192668,2025-09-15 10:43:26,2025-09-03,,2025-03-29,False,,1975-11-15,Stephanie,IN342455,Brown,,,,,Sentence suspended,BURGLARY 2,,P-09ECE96128,,2025-02-26,SEN-806cebea-0189-463b-b6be-675cf8171705,SUSPENDED,2025-02-27,RCW 51.140,24,30
c8b0a462-dc12-4f4d-af31-92eb12057ca2,,"[""CR-641879"", ""CR-143702""]",CR-151869,2025-09-15 10:43:26,2024-01-31,,2025-03-25,False,,1988-09-07,준혁,IN989195,조,,,6.5,3.8,80 hours community service,THEFT 3,2980.52,P-1F486D779A,,2025-01-18,SEN-797f7587-4015-41cf-832b-d4664755030d,COMMUNITY_SERVICE,2025-01-24,RCW 67.12,17,60
39f36d25-5c1e-4738-a9fe-a45306b51ac4,,"[""CR-238071"", ""CR-776794""]",CR-639762,2025-09-15 10:43:26,2025-09-07,,2023-12-25,False,,1950-03-21,Sandra,IN533026,Barber,,,,3.8,Time served,BURGLARY 2,2974.40,P-8D81659B7F,,2023-11-27,SEN-68f7701d-77d6-43db-8b40-bf5d9fc46c36,TIME_SERVED,2023-12-09,RCW 33.950,2,16
b188250f-a860-4746-b996-840cf2909754,1.0,"[""CR-761969""]",CR-592436,2025-09-15 10:43:26,2025-02-21,,2024-02-21,False,,1980-12-19,Mike,IN267544,Burton,,,13.6,4.9,120 hours community service,DV VIOLATION,2985.94,P-C31DE8F5D6,,2023-12-22,SEN-c6615c49-9854-4df3-a7ec-e6cc37c0078f,COMMUNITY_SERVICE,2023-12-23,RCW 9.224,17,60
b55a5dfc-c693-4bc2-9799-18a0bcb3a0e7,,[],CR-449435,2025-09-15 10:43:26,2024-01-28,3.9,2024-01-14,True,,1983-03-08,Michael,IN374322,Jones,,,,,,THEFT 3,2930.13,P-65EDE4614E,,2023-09-09,SEN-bacea0a4-6902-44b7-b269-65f181b97296,JAIL_TIME,2023-09-16,RCW 14.32,44,120
c2464e26-ab6a-489c-b54f-3765777ebe89,,[],KC-24-86275,2025-09-15 10:43:26,2024-03-25,,2025-10-20,False,,1982-12-28,Anastasia,IN897236,Gilabert,,,10.200000000000001,1.9,Unsupervised probation,DUI,2913.65,P-880DE4D43A,2.6,2024-10-07,SEN-8d28dda1-9e24-41cf-b9cb-3bd2e3473fe5,PROBATION,2024-10-20,RCW 59.292,6,365
8d443b66-1890-4403-9eb3-287e37db6ba7,,[],KC-24-51984,2025-09-15 10:43:26,2025-05-15,,2024-02-04,True,,1972-08-16,Troy,IN427108,Liu,,,,,,ASSAULT 4,,P-12F1CB45EF,,2023-02-03,SEN-b5b7ce95-3959-48f7-90fd-643bfd79e345,PRISON,2023-02-04,RCW 13.123,32,365
200ac297-799c-4d5b-b573-9058f762c404,,"[""CR-638341"", ""CR-698136""]",CR-235936,2025-09-15 10:43:27,2024-02-25,,2028-07-10,False,,1967-10-14,Blas,IN902111,Fernández,,,,,Unsupervised probation,BURGLARY 2,2953.08,P-8C272F50EA,,2025-07-06,SEN-3819e729-99ad-4739-a444-730c3df91204,PROBATION,2025-07-11,RCW 19.199,15,1095
753e2fa5-8f8b-4186-861e-514e91fd24ff,,"[""CR-464376"", ""CR-382434""]",KC-24-45036,2025-09-15 10:43:27,2024-01-08,,,False,1.6,2001-04-07,Cindy,IN215846,Wilson,,,,,Fine only: $500,BURGLARY 2,,P-3311B09DEE,,2025-02-10,SEN-69584e63-3fa2-465c-bad9-af53440329bc,FINE_ONLY,2025-02-22,RCW 41.309,0,0
d0a4ddaf-91a2-48a9-8e0f-ba95f2556b88,,[],KC-24-56205,2025-09-15 10:43:27,2024-06-08,,2025-08-08,False,,1995-04-24,Ruth,IN729923,Roy,,,,,Time served,DV VIOLATION,2941.41,P-A8EA9C8A33,,2025-07-19,SEN-328acd46-3b0c-4949-87ae-96952608f1af,TIME_SERVED,2025-07-21,RCW 34.833,2,18
c77d502c-e45b-467a-a2ed-5b0f890dfec5,,"[""CR-667729""]",CR-457431,2025-09-15 10:43:27,2023-11-21,,,False,,1954-03-04,Steven,IN751189,Lee,,,,,Fine only: $1000,DV VIOLATION,,P-CCEB557CBD,,2023-04-23,SEN-580a79c8-3080-497e-a42d-15c0ca35b749,FINE_ONLY,2023-04-28,RCW 12.323,0,0
0f066552-2c6f-4024-b8a4-c60c021df599,,[],KC-24-74731,2025-09-15 10:43:27,2024-03-22,,2024-09-08,True,,2006-11-30,Garima,IN395667,Nagy,,,,,Eligible for work release,DV VIOLATION,,P-7D39ED49AC,,2024-07-09,SEN-3600d6d0-7068-4033-a523-8093e87fc6d0,WORK_RELEASE,2024-07-10,RCW 17.316,6,60
